family,schedule,date,J_plan,J_rev,J_emerg,J,e_kWh,a_up_kWh
pt,none,2025-08-10,45648.686190943015,0.0,7640.355445224312,53289.04163616733,1797.81025138889,0.0
pt,none,2025-08-11,43697.34877350436,0.0,11014.266065512149,54711.61483901651,2719.1544857638887,0.0
pt,none,2025-08-12,46447.15897522019,0.0,10744.951149292188,57192.11012451238,2523.040705555555,0.0
pt,none,2025-08-13,42256.485980199504,0.0,22628.307615037505,64884.79359523701,5206.149464236113,0.0
pt,none,2025-08-14,44148.18381569487,0.0,13329.949014715803,57478.13283041067,3283.5190027777794,0.0
pt,none,2025-08-15,23330.526502013643,0.0,3801.8373480630225,27132.363850076665,1158.8991197916669,0.0
pt,none,2025-08-16,24697.847154393618,0.0,5469.221090909027,30167.068245302646,1323.3332107638887,0.0
pt,none,2025-08-17,45207.46308106982,0.0,8945.793618913545,54153.256699983365,1995.1608423611121,0.0
pt,none,2025-08-18,44554.121815595376,0.0,8254.48402667031,52808.605842265686,2178.0245996527765,0.0
pt,none,2025-08-19,43985.14699058597,0.0,8663.10535130052,52648.25234188649,2262.010269444443,0.0
pt,none,2025-08-20,48251.3320426945,0.0,10362.99970244131,58614.33174513581,2346.965051736109,0.0
pt,none,2025-08-21,45972.90908068325,0.0,5890.989312423433,51863.898393106676,1501.3722423611093,0.0
pt,none,2025-08-22,23072.879882577916,0.0,7024.932632537498,30097.812515115413,1727.6147263888884,0.0
pt,none,2025-08-23,22077.140697862258,0.0,13276.418341017186,35353.559038879444,3165.237186111111,0.0
pt,none,2025-08-24,44179.75949345682,0.0,9673.270909148781,53853.0304026056,2384.620131249999,0.0
pt,none,2025-08-25,57370.5153256076,0.0,3675.9350013236103,61046.45032693121,940.8238947916668,0.0
pt,none,2025-08-26,44916.957697577425,0.0,11594.908265942355,56511.865963519784,2984.578857986109,0.0
pt,none,2025-08-27,45140.916241307044,0.0,21270.33095202082,66411.24719332787,5328.924981249997,0.0
pt,none,2025-08-28,43616.36563345749,0.0,29547.382790307813,73163.7484237653,7069.691247569444,0.0
pt,none,2025-08-29,24853.44076610278,0.0,2562.6292265305538,27416.069992633333,607.617515972222,0.0
pt,none,2025-08-30,23748.438102796772,0.0,4518.7505352812495,28267.18863807802,1214.9199124999996,0.0
pt,none,2025-08-31,44588.85330290906,0.0,16570.585685893922,61159.438988802984,3777.724425694444,0.0
pt,none,2025-09-01,49081.50054468097,0.0,0.0,49081.50054468097,0.0,0.0
pt,none,2025-09-02,43541.44953882178,0.0,1691.3206787704814,45232.77021759226,417.29237604166576,0.0
pt,none,2025-09-03,46388.11752362353,0.0,412.6485224482664,46800.766046071796,103.4375958333338,0.0
pt,none,2025-09-04,46443.35541816445,0.0,976.8962111027764,47420.25162926723,228.4335878472217,0.0
pt,none,2025-09-05,23569.168610231904,0.0,27.870238497569197,23597.038848729473,9.351180902777742,0.0
pt,none,2025-09-06,23738.9522927652,0.0,296.14091581874914,24035.09320858395,79.63436527777756,0.0
pt,none,2025-09-07,43837.027673537814,0.0,3645.5947682428814,47482.622441780695,790.1203836805555,0.0
pt,none,2025-09-08,41020.874260439334,0.0,9938.219565452433,50959.09382589177,2328.758140972223,0.0
pt,none,2025-09-09,36710.32809842911,0.0,15339.759181802783,52050.08728023189,3795.2269413194463,0.0
pt,none,2025-09-10,42067.458914824,0.0,7213.335977555721,49280.794892379716,1669.1494138888877,0.0
pt,none,2025-09-11,42152.248025029636,0.0,5707.284933298783,47859.53295832842,1152.3680774305549,0.0
pt,none,2025-09-12,18388.880365068882,0.0,5860.816194478997,24249.69655954788,1425.3769222222234,0.0
pt,none,2025-09-13,18343.266229649387,0.0,3496.047181882467,21839.313411531853,837.473504166667,0.0
pt,none,2025-09-14,45143.897915910566,0.0,2224.0482345213504,47367.94615043192,591.4580232638887,0.0
pt,none,2025-09-15,37729.92402132209,0.0,12259.054815552783,49988.97883687487,3171.631241319444,0.0
pt,none,2025-09-16,43935.21289910114,0.0,3852.54422123316,47787.7571203343,967.1996572916659,0.0
pt,none,2025-09-17,42287.07451564614,0.0,4636.325965059212,46923.40048070536,1476.9671777777799,0.0
pt,none,2025-09-18,38011.870971319324,0.0,16030.74838164304,54042.61935296236,4301.464473263886,0.0
pt,none,2025-09-19,18557.98970835834,0.0,4110.0308868199645,22668.020595178303,1126.5800753472222,0.0
pt,none,2025-09-20,18573.35297972056,0.0,4212.848360984477,22786.201340705036,1030.4209777875035,0.0
pt,none,2025-09-21,41576.048013614185,0.0,3979.587977371875,45555.63599098606,998.838075347222,0.0
pt,none,2025-09-22,43914.53950521477,0.0,3218.473652896002,47133.01315811077,890.2575475694432,0.0
